iter	Passed	Remaining
0	0	794
1	1	720
2	2	665
3	2	635
4	3	619
5	3	622
6	5	740
7	6	830
8	7	807
9	8	808
10	8	791
11	9	771
12	9	751
13	10	735
14	10	718
15	11	706
16	12	698
17	12	687
18	13	678
19	13	669
20	14	662
21	14	656
22	15	649
23	15	644
24	16	640
25	16	635
26	17	631
27	18	627
28	18	623
29	19	627
30	20	627
31	20	626
32	21	623
33	21	621
34	22	617
35	22	613
36	23	609
37	23	606
38	24	603
39	25	600
40	25	598
41	26	596
42	26	593
43	27	592
44	27	590
45	28	588
46	28	586
47	29	585
48	30	583
49	30	581
50	31	580
51	31	578
52	32	576
53	32	575
54	33	573
55	34	574
56	34	575
57	35	576
58	36	575
59	36	573
60	37	572
61	37	570
62	38	568
63	38	567
64	39	565
65	39	565
66	40	564
67	41	563
68	41	562
69	42	560
70	42	559
71	43	558
72	43	556
73	44	555
74	44	553
75	45	552
76	45	551
77	46	550
78	47	549
79	47	548
80	48	548
81	48	547
82	49	547
83	50	546
84	50	546
85	51	545
86	51	545
87	52	545
88	53	543
89	53	543
90	54	542
91	54	541
92	55	539
93	55	538
94	56	537
95	56	536
96	57	535
97	57	531
98	58	530
99	58	530
100	59	529
101	60	528
102	60	527
103	61	527
104	61	526
105	62	525
106	62	525
107	63	524
108	64	524
109	64	524
110	65	524
111	66	524
112	66	523
113	67	523
114	67	522
115	68	521
116	68	520
117	69	519
118	70	518
119	70	517
120	71	516
121	71	515
122	72	514
123	72	513
124	73	512
125	73	511
126	74	510
127	74	510
128	75	509
129	76	508
130	76	508
131	77	507
132	77	507
133	78	508
134	79	508
135	80	509
136	80	510
137	81	510
138	82	509
139	82	508
140	83	507
141	83	506
142	84	505
143	84	504
144	85	503
145	85	502
146	86	501
147	86	500
148	87	497
149	87	496
150	88	495
151	88	494
152	89	493
153	89	492
154	90	490
155	90	489
156	91	488
157	91	487
158	92	486
159	92	486
160	93	485
161	93	484
162	94	483
163	94	483
164	95	483
165	96	483
166	96	482
167	97	481
168	97	480
169	98	479
170	98	478
171	99	477
172	99	476
173	100	475
174	100	474
175	101	473
176	101	472
177	102	471
178	102	470
179	103	470
180	103	469
181	104	468
182	104	467
183	105	466
184	105	465
185	106	464
186	106	463
187	107	462
188	108	464
189	108	463
190	109	462
191	109	462
192	110	461
193	111	461
194	111	461
195	112	460
196	112	459
197	113	458
198	113	457
199	114	456
200	114	456
201	123	486
202	123	485
203	124	486
204	125	485
205	126	486
206	127	486
207	127	487
208	128	487
209	129	486
210	129	484
211	130	484
212	130	483
213	131	481
214	131	480
215	132	479
216	132	478
217	132	476
218	133	475
219	133	474
220	134	473
221	134	473
222	135	472
223	135	471
224	136	470
225	137	469
226	137	468
227	138	467
228	138	466
229	139	465
230	139	464
231	140	463
232	140	463
233	141	463
234	142	462
235	142	462
236	143	461
237	144	461
238	145	461
239	146	462
240	146	462
241	147	461
242	147	460
243	148	459
244	148	458
245	149	457
246	149	456
247	150	455
248	150	454
249	151	453
250	151	452
251	152	452
252	152	451
253	153	450
254	153	449
255	154	448
256	154	447
257	155	446
258	156	446
259	156	446
260	157	445
261	157	445
262	158	444
263	158	443
264	159	442
265	159	441
266	160	440
267	160	439
268	161	438
269	161	437
270	162	436
271	162	435
272	163	434
273	163	433
274	164	432
275	164	431
276	165	430
277	165	430
278	166	429
279	166	428
280	167	427
281	167	426
282	168	425
283	168	425
284	169	424
285	169	423
286	170	422
287	170	422
288	171	421
289	171	420
290	172	420
291	172	419
292	173	418
293	173	417
294	174	416
295	174	415
296	175	415
297	175	414
298	176	413
299	176	412
300	177	411
